INFO 2024-06-17 12:09:10,867 autoreload Watching for file changes with StatReloader
DEBUG 2024-06-17 12:09:10,869 autoreload Waiting for apps ready_event.
DEBUG 2024-06-17 12:09:10,891 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-06-17 12:09:10,937 autoreload Watching dir D:\Python\projects\demo_real_estate\venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-06-17 12:09:10,937 autoreload Watching dir D:\Python\projects\demo_real_estate\venv\Lib\site-packages\jet\dashboard\templates with glob **/*.
DEBUG 2024-06-17 12:09:10,938 autoreload Watching dir D:\Python\projects\demo_real_estate\venv\Lib\site-packages\jet\templates with glob **/*.
DEBUG 2024-06-17 12:09:10,938 autoreload Watching dir D:\Python\projects\demo_real_estate\templates with glob **/*.
DEBUG 2024-06-17 12:09:10,938 autoreload Watching dir D:\Python\projects\demo_real_estate\locale with glob **/*.mo.
DEBUG 2024-06-17 12:09:10,938 autoreload Watching dir D:\Python\projects\demo_real_estate\venv\Lib\site-packages\jet\dashboard\locale with glob **/*.mo.
DEBUG 2024-06-17 12:09:10,938 autoreload Watching dir D:\Python\projects\demo_real_estate\venv\Lib\site-packages\jet\locale with glob **/*.mo.
DEBUG 2024-06-17 12:09:10,938 autoreload Watching dir D:\Python\projects\demo_real_estate\real_estate\locale with glob **/*.mo.
DEBUG 2024-06-17 12:09:10,938 autoreload Watching dir D:\Python\projects\demo_real_estate\venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-06-17 12:09:10,938 autoreload Watching dir D:\Python\projects\demo_real_estate\venv\Lib\site-packages\rest_framework_simplejwt\locale with glob **/*.mo.
DEBUG 2024-06-17 12:09:10,938 autoreload Watching dir D:\Python\projects\demo_real_estate\locale with glob **/*.mo.
DEBUG 2024-06-17 12:09:11,235 autoreload File C:\Users\EngKhalifah\AppData\Local\Programs\Python\Python311\DLLs\_decimal.pyd first seen with mtime 1666625688.0
DEBUG 2024-06-17 12:09:11,235 autoreload File D:\Python\projects\demo_real_estate\venv\Lib\site-packages\django\views\generic\base.py first seen with mtime 1718133888.8954928
DEBUG 2024-06-17 12:09:11,235 autoreload File D:\Python\projects\demo_real_estate\venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1718133888.621508
DEBUG 2024-06-17 12:09:11,235 autoreload File D:\Python\projects\demo_real_estate\venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1718133884.3377235
DEBUG 2024-06-17 12:09:11,235 autoreload File D:\Python\projects\demo_real_estate\demo_real_estate\settings.py first seen with mtime 1718615349.634542
DEBUG 2024-06-17 12:09:11,235 autoreload File D:\Python\projects\demo_real_estate\venv\Lib\site-packages\django\forms\models.py first seen with mtime 1718133888.6693351
DEBUG 2024-06-17 12:09:11,235 autoreload File D:\Python\projects\demo_real_estate\venv\Lib\site-packages\django\contrib\auth\backends.py first seen with mtime 1718133885.6721013
DEBUG 2024-06-17 12:09:11,236 autoreload File D:\Python\projects\demo_real_estate\venv\Lib\site-packages\django\contrib\staticfiles\utils.py first seen with mtime 1718133888.3461025
DEBUG 2024-06-17 12:09:11,236 autoreload File C:\Users\EngKhalifah\AppData\Local\Programs\Python\Python311\Lib\json\decoder.py first seen with mtime 1666625648.0
DEBUG 2024-06-17 12:09:11,236 autoreload File C:\Users\EngKhalifah\AppData\Local\Programs\Python\Python311\DLLs\_bz2.pyd first seen with mtime 1666625688.0
DEBUG 2024-06-17 12:09:11,236 autoreload File C:\Users\EngKhalifah\AppData\Local\Programs\Python\Python311\Lib\socketserver.py first seen with mtime 1666625648.0
DEBUG 2024-06-17 12:09:11,236 autoreload File D:\Python\projects\demo_real_estate\venv\Lib\site-packages\jet\dashboard\modules.py first seen with mtime 1718395378.741882
DEBUG 2024-06-17 12:09:11,236 autoreload File C:\Users\EngKhalifah\AppData\Local\Programs\Python\Python311\Lib\email\utils.py first seen with mtime 1666625648.0
DEBUG 2024-06-17 12:09:11,236 autoreload File C:\Users\EngKhalifah\AppData\Local\Programs\Python\Python311\DLLs\_asyncio.pyd first seen with mtime 1666625688.0
DEBUG 2024-06-17 12:09:11,236 autoreload File D:\Python\projects\demo_real_estate\venv\Lib\site-packages\django\template\defaulttags.py first seen with mtime 1718133888.7889726
DEBUG 2024-06-17 12:09:11,236 autoreload File C:\Users\EngKhalifah\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\_collections.py first seen with mtime 1666625648.0
DEBUG 2024-06-17 12:09:11,236 autoreload File C:\Users\EngKhalifah\AppData\Local\Programs\Python\Python311\Lib\urllib\__init__.py first seen with mtime 1666625648.0
DEBUG 2024-06-17 12:09:11,236 autoreload File D:\Python\projects\demo_real_estate\venv\Lib\site-packages\django\utils\translation\trans_real.py first seen with mtime 1718133888.8756998
DEBUG 2024-06-17 12:09:11,236 autoreload File D:\Python\projects\demo_real_estate\venv\Lib\site-packages\django\utils\cache.py first seen with mtime 1718133888.8320348
DEBUG 2024-06-17 12:09:11,237 autoreload File D:\Python\projects\demo_real_estate\venv\Lib\site-packages\django\core\files\uploadhandler.py first seen with mtime 1718133888.4086702
DEBUG 2024-06-17 12:09:11,237 autoreload File D:\Python\projects\demo_real_estate\venv\Lib\site-packages\django\utils\safestring.py first seen with mtime 1718133888.862257
DEBUG 2024-06-17 12:09:11,237 autoreload File C:\Users\EngKhalifah\AppData\Local\Programs\Python\Python311\Lib\email\mime\__init__.py first seen with mtime 1666625648.0
DEBUG 2024-06-17 12:09:11,237 autoreload File D:\Python\projects\demo_real_estate\venv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1718133888.5126503
DEBUG 2024-06-17 12:09:11,237 autoreload File C:\Users\EngKhalifah\AppData\Local\Programs\Python\Python311\Lib\_compression.py first seen with mtime 1666625648.0
